2015-11-12 19:13:17,693 INFO    SOCKET_SERVER |decode  , packageLength=12 actualPackageLength=12 命令=6_13
2015-11-12 19:13:17,693 INFO    MESSAGE_PROCESSOR_LOG |-1091262792 decodeAndCheck 中 processKey is 6_13  _pass  data={ Type->6 } checkSequence=[sequence-size:↑][Type:↑]
2015-11-12 19:13:17,694 INFO    SOCKET_SERVER |decode  , packageLength=8 actualPackageLength=8 命令=16_1
2015-11-12 19:13:17,694 INFO    MESSAGE_PROCESSOR_LOG |-1091262792 decodeAndCheck 中 processKey is 16_1  _pass  data={  } checkSequence=[sequence-size:↑]
2015-11-12 19:13:17,694 INFO    MESSAGE_PROCESSOR_LOG |-1091262792 checkAndEncode 中 processKey->返回 查看战队[1006_13]  _pass  data={ Place->0:FormationId->7:GeneralId->0:Type->6:GeneralIdArray->[{ Place->2:GeneralId->2003100129867 }, { Place->5:GeneralId->2003100062074 }, { Place->7:GeneralId->2003100043909 }, { Place->8:GeneralId->2003100044126 }, { Place->9:GeneralId->2003100044025 }] } checkSequence=[sequence-size:↑][Type:↑][[sequence-size:↑][Place:↑][GeneralId:↑][sequence-size:↑][Place:↑][GeneralId:↑][sequence-size:↑][Place:↑][GeneralId:↑][sequence-size:↑][Place:↑][GeneralId:↑][sequence-size:↑][Place:↑][GeneralId:↑]GeneralIdArray:↑][FormationId:↑][GeneralId:↑][Place:↑]
2015-11-12 19:13:17,721 INFO    MESSAGE_PROCESSOR_LOG |-1091262792 checkAndEncode 中 processKey->返回 冷却时间[1003_7]  _pass  data={ TimerArray->[{ TimerType->1_0:Value->0 }] } checkSequence=[sequence-size:↑][[sequence-size:↑][TimerType:↑][Value:↑]TimerArray:↑]
2015-11-12 19:13:17,721 INFO    MESSAGE_PROCESSOR_LOG |-1091262792 checkAndEncode 中 processKey->返回  次数控制[1003_9]  _pass  data={ UserCountControlArray->[{ AddCount->0:TotalCount->10:ID->3:CurrentCount->0:MaxAddCount->10:BuyCountNeedGold->10,10,20,20,30,30,50,50,50,50 }]:BooleanValue->0 } checkSequence=[sequence-size:↑][BooleanValue:↑][[sequence-size:↑][ID:↑][CurrentCount:↑][TotalCount:↑][AddCount:↑][MaxAddCount:↑][BuyCountNeedGold:↑]UserCountControlArray:↑]
2015-11-12 19:13:17,722 INFO    MESSAGE_PROCESSOR_LOG |-1091262792 checkAndEncode 中 processKey->返回决战巅峰面板信息[1016_1]  _pass  data={ Count->1:UserArenaArray->[{ BooleanValue->0:Zhanli->5000:Level->5:UserName->尹涵蓄:TransforId->1:UserId->530:Score->10 }, { BooleanValue->0:Zhanli->5000:Level->15:UserName->封惜筠:TransforId->2:UserId->31:Score->10 }, { BooleanValue->0:Zhanli->5000:Level->5:UserName->黎宏峻:TransforId->1:UserId->536:Score->10 }, { BooleanValue->0:Zhanli->29805:Level->37:UserName->春光乍泄:TransforId->2:UserId->2003100000013:Score->10 }, { BooleanValue->0:Zhanli->5000:Level->5:UserName->冼宏扬:TransforId->1:UserId->541:Score->10 }]:Season->3:RemainSeconds->35202:Ranking->551:Score->10 } checkSequence=[sequence-size:↑][Season:↑][RemainSeconds:↑][Ranking:↑][Score:↑][Count:↑][[sequence-size:↑][TransforId:↑][UserId:↑][UserName:↑][Level:↑][Score:↑][BooleanValue:↑][Zhanli:↑][sequence-size:↑][TransforId:↑][UserId:↑][UserName:↑][Level:↑][Score:↑][BooleanValue:↑][Zhanli:↑][sequence-size:↑][TransforId:↑][UserId:↑][UserName:↑][Level:↑][Score:↑][BooleanValue:↑][Zhanli:↑][sequence-size:↑][TransforId:↑][UserId:↑][UserName:↑][Level:↑][Score:↑][BooleanValue:↑][Zhanli:↑][sequence-size:↑][TransforId:↑][UserId:↑][UserName:↑][Level:↑][Score:↑][BooleanValue:↑][Zhanli:↑]UserArenaArray:↑]
2015-11-12 19:13:37,733 INFO    SOCKET_SERVER |decode  , packageLength=16 actualPackageLength=16 命令=16_6
2015-11-12 19:13:37,733 INFO    MESSAGE_PROCESSOR_LOG |-1091262792 decodeAndCheck 中 processKey is 16_6  _pass  data={ UserId->530 } checkSequence=[sequence-size:↑][UserId:↑]
2015-11-12 19:13:37,768 INFO    MESSAGE_PROCESSOR_LOG |-1091262792 checkAndEncode 中 processKey->返回  比武大会英雄信息[1016_6]  _pass  data={ PlaceIDArray->[{ Place->1:ID->27 }, { Place->3:ID->40 }, { Place->5:ID->22 }, { Place->7:ID->44 }, { Place->9:ID->39 }]:FormationId->4:Zhanli->5000:UserId->530 } checkSequence=[sequence-size:↑][UserId:↑][FormationId:↑][[sequence-size:↑][Place:↑][ID:↑][sequence-size:↑][Place:↑][ID:↑][sequence-size:↑][Place:↑][ID:↑][sequence-size:↑][Place:↑][ID:↑][sequence-size:↑][Place:↑][ID:↑]PlaceIDArray:↑][Zhanli:↑]
